route_id,route_short_name,direction_id,time_band,trips,median_runtime_min,p10_runtime_min,p90_runtime_min,runtime_spread_min,layovers,median_layover_min,p10_layover_min,p90_layover_min,layover_score,runtime_score,fragility_score,why
7,7,0,AM Peak (6–9),21,67.0,53.0,67.0,14.0,18.0,8.0,6.0,11.0,0.19999999999999996,0.4,30.0,moderate
7,7,0,Evening (19–24),30,40.0,35.0,43.0,8.0,30.0,12.0,5.0,12.0,0.0,0.22857142857142856,11.4,moderate
7,7,0,Midday (9–15),37,54.0,54.0,61.0,7.0,37.0,12.0,4.0,13.0,0.0,0.2,10.0,moderate
7,7,0,Overnight (0–6),13,35.0,35.0,42.0,7.0,10.0,5.0,5.0,10.1,0.5,0.2,35.0,moderate
7,7,0,PM Peak (15–19),24,61.0,53.9,61.0,7.100000000000001,24.0,12.0,12.0,12.0,0.0,0.2028571428571429,10.1,moderate
7,7,1,AM Peak (6–9),20,61.0,54.5,63.0,8.5,14.0,4.0,4.0,8.0,0.6,0.24285714285714285,42.1,moderate
7,7,1,Evening (19–24),30,52.0,40.0,57.0,17.0,30.0,6.0,0.0,8.100000000000001,0.4,0.4857142857142857,44.3,moderate
7,7,1,Midday (9–15),38,65.0,65.0,89.0,24.0,36.0,7.0,4.0,8.0,0.30000000000000004,0.6857142857142857,49.3,high schedule variability
7,7,1,Overnight (0–6),11,40.0,31.0,40.0,9.0,8.0,0.0,0.0,1.4999999999999991,1.0,0.2571428571428571,62.9,no recovery time
7,7,1,PM Peak (15–19),24,89.0,65.5,89.0,23.5,24.0,8.0,8.0,8.0,0.19999999999999996,0.6714285714285714,43.6,moderate
8,8,0,AM Peak (6–9),8,44.0,44.0,44.0,0.0,8.0,3.0,3.0,3.8999999999999995,0.7,0.0,35.0,very low recovery time
8,8,0,Evening (19–24),13,33.0,29.0,33.0,4.0,13.0,2.0,2.0,5.0,0.8,0.11428571428571428,45.7,very low recovery time
8,8,0,Midday (9–15),16,38.0,38.0,41.0,3.0,16.0,6.0,3.0,6.0,0.4,0.08571428571428572,24.3,moderate
8,8,0,Overnight (0–6),7,29.0,29.0,44.0,15.0,5.0,5.0,2.0,5.0,0.5,0.42857142857142855,46.4,moderate
8,8,0,PM Peak (15–19),10,38.5,37.8,39.0,1.2000000000000028,11.0,6.0,2.0,6.0,0.4,0.034285714285714364,21.7,moderate
8,8,1,AM Peak (6–9),8,36.0,36.0,36.0,0.0,8.0,5.0,5.0,5.0,0.5,0.0,25.0,moderate
8,8,1,Evening (19–24),12,33.0,29.0,33.0,4.0,12.0,4.0,4.0,9.0,0.6,0.11428571428571428,35.7,moderate
8,8,1,Midday (9–15),16,35.0,35.0,35.0,0.0,17.0,9.0,7.4,9.0,0.09999999999999998,0.0,5.0,moderate
8,8,1,Overnight (0–6),10,29.0,29.0,36.0,7.0,7.0,9.0,3.8000000000000003,9.0,0.09999999999999998,0.2,15.0,moderate
8,8,1,PM Peak (15–19),11,43.0,39.0,43.0,4.0,10.0,5.0,4.0,8.499999999999998,0.5,0.11428571428571428,30.7,moderate
9,9,0,AM Peak (6–9),10,42.0,40.0,44.0,4.0,10.0,4.5,2.0,5.1,0.55,0.11428571428571428,33.2,moderate
9,9,0,Evening (19–24),13,36.0,36.0,36.0,0.0,11.0,2.0,0.0,2.0,0.8,0.0,40.0,very low recovery time
9,9,0,Midday (9–15),14,39.0,39.0,44.0,5.0,13.0,4.0,0.40000000000000036,4.0,0.6,0.14285714285714285,37.1,moderate
9,9,0,Overnight (0–6),6,35.5,31.0,40.0,9.0,4.0,4.5,4.0,11.3,0.55,0.2571428571428571,40.4,moderate
9,9,0,PM Peak (15–19),13,41.0,41.0,41.0,0.0,13.0,4.0,1.0,5.0,0.6,0.0,30.0,moderate
9,9,1,AM Peak (6–9),10,44.0,38.0,44.0,6.0,10.0,1.5,0.0,3.1999999999999993,0.85,0.17142857142857143,51.1,very low recovery time
9,9,1,Evening (19–24),11,40.0,40.0,40.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,50.0,no recovery time
9,9,1,Midday (9–15),14,41.0,41.0,47.0,6.0,12.0,0.0,0.0,0.0,1.0,0.17142857142857143,58.6,no recovery time
9,9,1,Overnight (0–6),7,38.0,34.0,38.0,4.0,5.0,4.0,0.0,8.4,0.6,0.11428571428571428,35.7,moderate
9,9,1,PM Peak (15–19),15,44.0,44.0,47.0,3.0,13.0,0.0,0.0,2.8000000000000007,1.0,0.08571428571428572,54.3,no recovery time
10,10,0,AM Peak (6–9),6,12.0,11.5,12.0,0.5,6.0,3.0,3.0,3.5,0.7,0.014285714285714285,35.7,very low recovery time
10,10,0,Evening (19–24),1,12.0,12.0,12.0,0.0,,10.0,,,0.0,0.0,0.0,moderate
